,,,,,,,,,,,,3.267,2.571,12.51
,,,,,,,,,,,,3.3,2.6,12.5
,,,,,,,,,,,,3.333,2.629,12.47
,,,,,,,,,,,,3.367,2.655,12.42
,,,,,,,,,,,,3.4,2.681,12.36
,,,,,,,,,,,,3.433,2.707,12.28
,,,,,,,,,,,,3.467,2.73,12.2
,,,,,,,,,,,,3.5,2.759,12.09
,,,,,,,,,,,,3.533,2.785,11.97
,,,,,,,,,,,,3.567,2.812,11.84
,,,,,,,,,,,,3.6,2.832,11.69
,,,,,,,,,,,,3.633,2.85,11.53
,,,,,,,,,,,,3.667,2.875,11.36
,,,,,,,,,,,,3.7,2.895,11.16
,,,,,,,,,,,,3.733,2.917,10.88
,,,,,,,,,,,,3.767,2.954,10.66
,,,,,,,,,,,,3.8,3.049,10.44
,,,,,,,,,,,,3.833,3.137,10.26
,,,,,,,,,,,,3.867,3.166,10.02
,,,,,,,,,,,,3.9,3.181,9.773
,,,,,,,,,,,,3.933,3.071,9.447
,,,,,,,,,,,,3.967,3.115,9.271
,,,,,,,,,,,,4,2.521,9.007
,,,,,,,,,,,,4.033,1.773,8.787
,,,,,,,,,,,,4.067,0.939,8.529
,,,,,,,,,,,,4.1,0.126,8.248
,,,,,,,,,,,,4.133,-0.781,8.012
,,,,,,,,,,,,4.167,-1.621,7.752
,,,,,,,,,,,,4.2,-2.399,7.48
,,,,,,,,,,,,4.233,-3.104,7.134
,,,,,,,,,,,,4.267,-3.925,6.8
,,,,,,,,,,,,4.3,-4.722,6.405
,,,,,,,,,,,,4.333,-5.637,6.072
,,,,,,,,,,,,4.367,-6.45,5.625
,,,,,,,,,,,,4.4,-6.959,5.454
,,,,,,,,,,,,4.433,-6.86,5.614
,,,,,,,,,,,,4.467,-6.777,5.87
,,,,,,,,,,,,4.5,-6.625,6.084
,,,,,,,,,,,,4.533,-6.551,6.343
,,,,,,,,,,,,4.567,-6.462,6.561
,,,,,,,,,,,,4.6,-6.347,6.766
,,,,,,,,,,,,4.633,-6.218,7.011
,,,,,,,,,,,,4.667,-6.18,7.171
,,,,,,,,,,,,4.7,-6.02,7.32
,,,,,,,,,,,,4.733,-6.007,7.493
,,,,,,,,,,,,4.767,-5.723,7.703
,,,,,,,,,,,,4.8,-5.624,7.727
,,,,,,,,,,,,4.833,-5.575,7.789
,,,,,,,,,,,,4.867,-5.402,7.826
,,,,,,,,,,,,4.9,-5.303,7.9
,,,,,,,,,,,,4.933,-5.18,7.95
,,,,,,,,,,,,4.967,-5.031,7.974
,,,,,,,,,,,,5,-4.97,7.962
,,,,,,,,,,,,5.033,-4.908,7.95
,,,,,,,,,,,,5.067,-4.784,7.987
,,,,,,,,,,,,5.1,-4.648,7.913
,,,,,,,,,,,,5.133,-4.438,7.839
,,,,,,,,,,,,5.167,-4.451,7.789
,,,,,,,,,,,,5.2,-4.384,7.704
,,,,,,,,,,,,5.233,-4.105,7.616
,,,,,,,,,,,,5.267,-4.035,7.546
,,,,,,,,,,,,5.3,-3.895,7.284
,,,,,,,,,,,,5.333,-3.773,7.162
,,,,,,,,,,,,5.367,-3.616,7.04
,,,,,,,,,,,,5.4,-3.476,6.865
,,,,,,,,,,,,5.433,-3.389,6.603
,,,,,,,,,,,,5.467,-3.424,6.516
,,,,,,,,,,,,5.5,-3.196,6.219
